"Grant","Organization Name","Focus Area","Amount","Date"
"Mamoreruinochi wo Mamorukai — Legal Aid for Scientists in Japan","Mamoreruinochi wo Mamorukai","Scientific Research","$40,000","2/2018"
"Court Watch NOLA — General Support (February 2018)","Court Watch NOLA","Criminal Justice Reform","$100,000","2/2018"
"Georgetown Center for Global Health Science and Security — General Support (2018)","Georgetown Center for Global Health Science and Security","Biosecurity and Pandemic Preparedness","$44,627","2/2018"
"Voters Organized to Educate — General Support (2018)","Voters Organized to Educate","Criminal Justice Reform","$100,000","2/2018"
"UCSF — Research on Antiviral Drugs (Raul Andino)","University of California, San Francisco","Scientific Research","$880,000","2/2018"
"80,000 Hours — General Support (2018)","80,000 Hours","Other areas","$510,000","2/2018"
"Cynthia Schuck & Wladimir Alonso — DALY Project","Cynthia Schuck & Wladimir Alonso","Farm Animal Welfare","$96,130","2/2018"
"Texas Inmate Families Association — General Support (2018)","Texas Inmate Families Association","Criminal Justice Reform","$242,000","2/2018"
"Detroit Justice Center — General Support","Detroit Justice Center","Criminal Justice Reform","$50,000","1/2018"
"Center for Applied Rationality — General Support (2018)","Center for Applied Rationality","Other areas","$1,000,000","1/2018"
"Blue Ribbon Study Panel on Biodefense— General Support (2018)","Blue Ribbon Study Panel on Biodefense","Biosecurity and Pandemic Preparedness","$2,588,162","1/2018"
"LatinoJustice — Media Fellowship","LatinoJustice","Criminal Justice Reform","$50,000","1/2018"
"Just Liberty — General Support (2018)","Just Liberty","Criminal Justice Reform","$569,000","1/2018"
"Center for Applied Rationality —  SPARC (2018)","Center for Applied Rationality","Other areas","$560,000","1/2018"
"Princeton University — Rescuing Biomedical Research (2018)","Rescuing Biomedical Research","Scientific Research","$409,112","1/2018"
"Beth Israel Deaconess Medical Center — Sepsis Therapy Clinical Trial (Michael Donnino)","Beth Israel Deaconess Medical Center","Scientific Research","$2,939,400","1/2018"
"Helen Keller International  — Vitamin A Supplementation (January 2018)","Helen Keller International","Global Health & Development","$7,200,000","1/2018"
"Sightsavers — Deworming Programs (January 2018)","Sightsavers","Global Health & Development","$2,500,000","1/2018"
"Living Goods — General Support (January 2018)","Living Goods","Global Health & Development","$100,000","1/2018"
"Brooklyn Community Bail Fund — National Bail Fund Network (2018)","Brooklyn Community Bail Fund","Criminal Justice Reform","$100,000","1/2018"
"Silicon Valley De-Bug — Participatory Defense / Bail Fund Pilot","Silicon Valley De-Bug","Criminal Justice Reform","$20,600","1/2018"
"WaitList Zero — General Support (January 2018)","WaitList Zero","U.S. Policy","$100,000","1/2018"
"Niskanen Center — Research on Immigration Policy (2018)","Niskanen Center","Immigration Policy","$400,000","1/2018"
"Aubin Pictures — Criminal Justice Media Archive Scoping","Aubin Pictures","Criminal Justice Reform","$25,000","12/2017"
"Family Farm Action — Opposing the King Amendment ","Family Farm Action","Farm Animal Welfare","$153,000","12/2017"
"Smart Justice CA — California Criminal Justice Reform Lobbying (2017)","Smart Justice CA","Criminal Justice Reform","$25,000","12/2017"
"The Ordinary People Society — General Support (2017)","The Ordinary People Society","Criminal Justice Reform","$280,000","12/2017"
"The Prodigal Child Project — General Support","The Prodigal Child Project","Criminal Justice Reform","$20,000","12/2017"
"Mijente — Anti-Criminalization Work (2017)","Mijente","Criminal Justice Reform","$255,000","12/2017"
"Humane Society Legislative Fund — Opposing the King Amendment","Humane Society Legislative Fund","Farm Animal Welfare","$395,094","12/2017"
"One Voice — General Support","One Voice","Criminal Justice Reform","$20,000","12/2017"
"Food Fortification Initiative — General Support (December 2017)","Food Fortification Initiative","Global Health & Development","$100,000","12/2017"
"Voters Organized to Educate — General Support (2017)","Voters Organized to Educate","Criminal Justice Reform","$305,000","12/2017"
"Color Of Change — Criminal Justice Reform (2017)","Color Of Change","Criminal Justice Reform","$1,000,000","12/2017"
"Urban Institute —  History of Philanthropy Project","Urban Institute","History of Philanthropy","$165,833","12/2017"
"Blackbird — Ending Mass Incarceration (2017)","Blackbird","Criminal Justice Reform","$425,000","12/2017"
"Deworm the World Initiative — General Support (December 2017)","Evidence Action","Global Health & Development","$15,200,000","12/2017"
"Evidence Action — No Lean Season (December 2017)","Evidence Action","Global Health & Development","$11,500,000","12/2017"
"Against Malaria Foundation — General Support (December 2017)","Against Malaria Foundation","Global Health & Development","$2,500,000","12/2017"
"American Society for Microbiology — Biothreats Meeting","American Society for Microbiology","Biosecurity and Pandemic Preparedness","$43,149","12/2017"
"The Center for Election Science — General Support (2017)","The Center for Election Science","Other areas","$628,600","12/2017"
"Carnegie Endowment for International Peace — Chinese and Indian Perspectives on Biotech Security Risks","Carnegie Endowment for International Peace","Biosecurity and Pandemic Preparedness","$613,380","12/2017"
"Iodine Global Network — General Support (December 2017)","Iodine Global Network","Global Health & Development","$100,000","12/2017"
"Development Media International — General Support (December 2017)","Development Media International","Global Health & Development","$100,000","12/2017"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (December 2017)","Global Alliance for Improved Nutrition","Global Health & Development","$100,000","12/2017"
"Project Healthy Children — General Support (December 2017)","Project Healthy Children","Global Health & Development","$100,000","12/2017"
"Citizens for Juvenile Justice — General Support (2017)","Citizens for Juvenile Justice","Criminal Justice Reform","$75,000","12/2017"
"Evidence Action — Dispensers for Safe Water Program (2017)","Evidence Action","Global Health & Development","$100,000","12/2017"
"The END Fund — Deworming Programs (December 2017)","The END Fund","Global Health & Development","$2,500,000","12/2017"
"Evidence Action — General Operating Support","Evidence Action","Global Health & Development","$800,000","12/2017"
"GiveDirectly — General Support (December 2017)","GiveDirectly","Global Health & Development","$2,500,000","12/2017"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (December 2017)","Malaria Consortium","Global Health & Development","$27,900,000","12/2017"
"protocols.io — Platform Improvements","protocols.io","Scientific Research","$200,000","12/2017"
"University of Washington — Universal Flu Vaccine and Computational Protein Design (David Baker and Neil King)","University of Washington (Institute for Protein Design)","Scientific Research","$11,367,500","11/2017"
"Arizona State University — Canine Cancer Vaccine Clinical Trial (Stephen Johnston)","Arizona State University","Scientific Research","$6,421,402","11/2017"
"The Good Food Institute — General Support (2017)","The Good Food Institute","Farm Animal Welfare","$1,500,000","11/2017"
"L214 — Broiler Welfare Campaigns in France (2017)","L214","Farm Animal Welfare","$1,347,742","11/2017"
"fair-fish international association —  Fish Welfare Standards for Aquaculture","fair-fish international association","Farm Animal Welfare","$453,841","11/2017"
"New Incentives — General Support (November 2017)","New Incentives ","Global Health & Development","$5,944,203","11/2017"
"Youth First Initiative — General Support (2017)","Youth First Initiative","Criminal Justice Reform","$250,000","11/2017"
"InterAcademy Partnership — Side Event at the BWC Meeting of State Parties","InterAcademy Partnership","Biosecurity and Pandemic Preparedness","$14,605","11/2017"
"theguardian.org — Journalism on Factory Farming and Farm Animal Cruelty","theguardian.org","Farm Animal Welfare","$886,600","11/2017"
"Aquaculture Stewardship Council  — Fish Welfare Standard Development","Aquaculture Stewardship Council","Farm Animal Welfare","$533,036","11/2017"
"Color Of Change PAC — Criminal Justice Reform","Color Of Change PAC","Criminal Justice Reform","$200,000","11/2017"
"Animal Equality — EU Farm Animal Welfare","Animal Equality","Farm Animal Welfare","$2,110,460","11/2017"
"Otwarte Klatki — Chicken Welfare Campaigns and Merger Support","Otwarte Klatki","Farm Animal Welfare","$472,864","11/2017"
"David Manheim — Research on Existential Risk from Infectious Disease","David Manheim","Biosecurity and Pandemic Preparedness","$65,308","11/2017"
"Nuclear Threat Initiative — Biosecurity Program Support","Nuclear Threat Initiative","Biosecurity and Pandemic Preparedness","$6,000,000","10/2017"
"Court Watch NOLA — General Support (October 2017)","Court Watch NOLA","Criminal Justice Reform","$100,000","10/2017"
"Sightline Institute — Housing and Urban Development (2017)","Sightline Institute","Land Use Reform","$350,000","10/2017"
"Anima — Chicken Welfare Campaigns and Merger Support","Anima","Farm Animal Welfare","$683,000","10/2017"
"Initiate Justice — Prisoner Education on Prop 57","Initiate Justice","Criminal Justice Reform","$5,000","10/2017"
"Compassion in World Farming — End the Cage Age Campaign","Compassion in World Farming","Farm Animal Welfare","$1,000,000","10/2017"
"Harvard University — Animal Law and Policy Program","Harvard University ","Farm Animal Welfare","$21,200","10/2017"
"Essie Justice Group — General Support (2017)","Essie Justice Group","Criminal Justice Reform","$300,000","10/2017"
"World Animal Net — Co-Organizing Workshops with the World Bank","World Animal Net","Farm Animal Welfare","$50,000","10/2017"
"Royal Society for the Prevention of Cruelty to Animals — Chicken Welfare Campaign in the UK","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$374,631","10/2017"
"Dignity and Power Now — JusticeLA Campaign (2017)","Dignity and Power Now","Criminal Justice Reform","$500,000","10/2017"
"Machine Intelligence Research Institute — General Support (2017)","Machine Intelligence Research Institute","Potential Risks from Advanced Artificial Intelligence","$3,750,000","10/2017"
"Brooklyn Community Bail Fund — National Bail Fund Network","Brooklyn Community Bail Fund","Criminal Justice Reform","$404,800","10/2017"
"Working Families Party — Prosecutor Reforms in New York (2017)","Working Families Party, Inc.","Criminal Justice Reform","$109,600","10/2017"
"UC Berkeley — AI Safety Research","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$1,450,016","10/2017"
"GiveWell — General Support (2017)","GiveWell","Global Health & Development","$530,764","10/2017"
"Global Aquaculture Alliance  — Fish Welfare Best Practices","Global Aquaculture Alliance","Farm Animal Welfare","$435,000","9/2017"
"Eurogroup for Animals — EU Chicken Welfare Advocacy (2017)","Eurogroup for Animals","Farm Animal Welfare","$625,400","9/2017"
"Solar Radiation Management Governance Initiative — General Support (2017)","Solar Radiation Management Governance Initiative","Global Catastrophic Risks","$2,000,000","9/2017"
"New York Working Families — Criminal Justice Reform in New York","New York Working Families","Criminal Justice Reform","$40,000","9/2017"
"Albert Schweitzer Foundation — General Support","Albert Schweitzer Foundation","Farm Animal Welfare","$1,000,000","9/2017"
"Global Animal Partnership  — Fish Welfare Standards","Global Animal Partnership","Farm Animal Welfare","$285,000","9/2017"
"Gamechanger Labs — Student Organizing Initiative","Gamechanger Labs","Criminal Justice Reform","$100,000","9/2017"
"Corrections Accountability Project — General Support (2017)","Corrections Accountability Project","Criminal Justice Reform","$100,000","9/2017"
"Texas After Violence Project — Video Documentation Project","Texas After Violence Project","Criminal Justice Reform","$52,000","9/2017"
"We Got Us Now — General Support (2017)","We Got Us Now","Criminal Justice Reform","$100,000","9/2017"
"The Humane League — Open Wing Alliance (2017)","The Humane League","Farm Animal Welfare","$2,000,000","9/2017"
"Florida Rights Restoration Coalition — Power Building (2017)","Florida Rights Restoration Coalition","Criminal Justice Reform","$558,000","9/2017"
"Center for a New American Security — Technological Risks and National Security","Center for a New American Security","Global Catastrophic Risks","$260,000","8/2017"
"UC Berkeley — Aging Research (Irina Conboy) (2017)","UC Berkeley","Scientific Research","$5,000,000","8/2017"
"Centre for Pesticide Suicide Prevention — General Support","Centre for Pesticide Suicide Prevention","Global Health & Development","$1,336,409","8/2017"
"Berkeley Existential Risk Initiative — Core Support and CHAI Collaboration","Berkeley Existential Risk Initiative","Potential Risks from Advanced Artificial Intelligence","$403,890","7/2017"
"Future of Research — Exit Grant","Future of Research","Scientific Research","$150,000","7/2017"
"Center for Effective Global Action at UC Berkeley — Scoping RCTs for Follow-Up","Center for Effective Global Action at UC Berkeley","Global Health & Development","$492,188","7/2017"
"Yale University — Research on the Global Politics of AI","Yale University","Potential Risks from Advanced Artificial Intelligence","$299,320","7/2017"
"Smithsonian Institution — Outbreak Exhibit","Smithsonian Institution","Biosecurity and Pandemic Preparedness","$300,000","7/2017"
"American Conservative Union Foundation — Center for Criminal Justice Reform (2017)","American Conservative Union Foundation","Criminal Justice Reform","$206,000","7/2017"
"Charity Science Health — SMS Reminders for Immunization","Charity Science Health","Global Health & Development","$357,543","7/2017"
"The Ahimsa Collective — Restorative Justice Movement-Building Report","The Ahimsa Collective","Criminal Justice Reform","$15,000","7/2017"
"Federation of Indian Animal Protection Organisations — India Animal Welfare Reform","Federation of Indian Animal Protection Organisations","Farm Animal Welfare","$332,944","7/2017"
"Montreal Institute for Learning Algorithms — AI Safety Research","Montreal Institute for Learning Algorithms","Potential Risks from Advanced Artificial Intelligence","$2,400,000","7/2017"
"University of Pennsylvania — Philip Tetlock's “Making Conversations Smarter, Faster” Forecasting Project","University of Pennsylvania","Other areas","$1,550,000","7/2017"
"Center for Effective Global Action at UC Berkeley — Deworming Study Planning Gift","Center for Effective Global Action at UC Berkeley","Global Health & Development","$18,000","6/2017"
"Dignity and Power Now — Convening to Oppose L.A. Jail Construction","Dignity and Power Now","Criminal Justice Reform","$132,000","6/2017"
"Duke University — Co-Crystallization of Hsp70i and Inhibitor HS-72 (Timothy Haystead)","Duke University","Scientific Research","$81,500","6/2017"
"University of Notre Dame — Nanopore Protein Sequencing (Gregory Timp)","University of Notre Dame","Scientific Research","$2,054,142","6/2017"
"Humane Slaughter Association — Fish, Crustacean, and Cephalopod Welfare","Humane Slaughter Association","Farm Animal Welfare","$2,528,678","6/2017"
"Animal Welfare Action Lab — Meat Reduction and Elimination Messaging Study","Animal Welfare Action Lab","Farm Animal Welfare","$79,100","6/2017"
"Humane Slaughter Association — Farm Animal Welfare Advocacy in China","Humane Slaughter Association","Farm Animal Welfare","$419,236","6/2017"
"UCSF — Organ Regenerative Surgery (Tammy Chang)","University of California, San Francisco","Scientific Research","$825,000","6/2017"
"Greater Greater Washington — Housing and Land Use Reform (2017)","Greater Greater Washington","Land Use Reform","$250,000","6/2017"
"Eurogroup for Animals — Broiler Chicken Welfare Campaign","Eurogroup for Animals","Farm Animal Welfare","$14,961","5/2017"
"UCLA School of Law — AI Governance","UCLA School of Law","Potential Risks from Advanced Artificial Intelligence","$1,536,222","5/2017"
"Compassion in World Farming USA — Latin America Broiler Chicken Welfare Research","Compassion in World Farming USA","Farm Animal Welfare","$30,000","5/2017"
"Forward Justice — Criminal Justice Reform Advocacy and Organizing","Forward Justice","Criminal Justice Reform","$75,000","5/2017"
"Humane Society International India — Animal Welfare Reform (2017)","Humane Society International India","Farm Animal Welfare","$1,100,000","5/2017"
"Stanford University — Support for Percy Liang","Stanford University","Potential Risks from Advanced Artificial Intelligence","$1,337,600","5/2017"
"People for Animals — India Animal Welfare Reform","People for Animals","Farm Animal Welfare","$120,000","5/2017"
"Animal Equality — India Animal Welfare Reform","Animal Equality","Farm Animal Welfare","$292,000","5/2017"
"JustLeadershipUSA — Campaign to Close Rikers Summer Canvassing Support","JustLeadershipUSA","Criminal Justice Reform","$63,807","5/2017"
"Future of Life Institute — General Support (2017)","Future of Life Institute","Global Catastrophic Risks","$100,000","5/2017"
"Center for Applied Rationality — European Summer Program on Rationality","Center for Applied Rationality","Other areas","$340,000","5/2017"
"North Carolina State University — DIYbio Labs Project","North Carolina State University","Biosecurity and Pandemic Preparedness","$252,725","5/2017"
"IDinsight — Embedded GiveWell Team (2017)","IDinsight","Global Health & Development","$2,321,617","5/2017"
"Target Malaria — Gene Drives for Malaria Control","Target Malaria","Scientific Research","$17,500,000","5/2017"
"Genspace — DIYbio Labs Project","Genspace ","Biosecurity and Pandemic Preparedness","$454,025","5/2017"
"Mercy For Animals — India Animal Welfare Reform","Mercy For Animals","Farm Animal Welfare","$500,000","5/2017"
"National Academies of Sciences, Engineering, and Medicine — International Meeting on Governance of Dual-Use Research","National Academies of Sciences, Engineering, and Medicine","Biosecurity and Pandemic Preparedness","$452,545","5/2017"
"Rockefeller University — Viral Histone Mimics (Alexander Tarakhovsky)","Rockefeller University","Scientific Research","$1,600,000","4/2017"
"Alliance for Safety and Justice — General Support (2017)","Alliance for Safety and Justice","Criminal Justice Reform","$4,000,000","4/2017"
"Court Watch NOLA — General Support","Court Watch NOLA","Criminal Justice Reform","$25,000","4/2017"
"Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2017)","Foundation for Food and Agriculture Research","Farm Animal Welfare","$1,000,000","4/2017"
"The Greenfield Project — General Support","The Greenfield Project","Farm Animal Welfare","$500,000","4/2017"
"New Partnership for Africa’s Development Planning and Coordinating Agency — General Support","New Partnership for Africa’s Development","Scientific Research","$2,350,000","4/2017"
"East Bay Forward — YIMBYtown 2017 Conference","East Bay Forward","Land Use Reform","$40,000","4/2017"
"Alliance for Safety and Justice Action Fund — General Support (2017)","Alliance for Safety and Justice Action Fund","Criminal Justice Reform","$1,000,000","4/2017"
"Common Justice — General Support","Common Justice","Criminal Justice Reform","$100,000","4/2017"
"BioBricks Foundation — Biosecurity Activities at SB7.0","BioBricks Foundation","Biosecurity and Pandemic Preparedness","$152,950","4/2017"
"American Civil Liberties Union Foundation — Disability Rights Fellowship","American Civil Liberties Union Foundation","Criminal Justice Reform","$45,000","4/2017"
"Animal Charity Evaluators — General Support","Animal Charity Evaluators","Farm Animal Welfare","$500,000","4/2017"
"Center for Effective Global Action at UC Berkeley — KLPS-4 Survey","Center for Effective Global Action at UC Berkeley","Global Health & Development","$1,104,259","4/2017"
"Evidence Action — Strengthen Operations","Evidence Action","Global Health & Development","$2,642,300","4/2017"
"New Incentives — General Support (April 2017)","New Incentives","Global Health & Development","$820,000","4/2017"
"Rutgers University — Nuclear Conflict Climate Modeling","Rutgers University","Global Catastrophic Risks","$2,982,206","3/2017"
"College and Community Fellowship — General Support","College and Community Fellowship","Criminal Justice Reform","$50,000","3/2017"
"Colorado State University — Planning Gift","Institute for Advancement of Animal Welfare Science","Farm Animal Welfare","$80,400","3/2017"
"Vera Institute of Justice — Criminal Justice Reform Report","Vera Institute of Justice","Criminal Justice Reform","$50,000","3/2017"
"OpenAI — General Support","OpenAI","Potential Risks from Advanced Artificial Intelligence","$30,000,000","3/2017"
"World Animal Protection — Broiler Chicken Welfare (2017)","World Animal Protection","Farm Animal Welfare","$517,588","3/2017"
"Centre for Effective Altruism — General Support (2017)","Centre for Effective Altruism","Other areas","$2,500,000","3/2017"
"Wageningen University & Research — Chicken Welfare Systematic Assessment","Wageningen University & Research","Farm Animal Welfare","$88,345","3/2017"
"National Alliance of Faith and Justice — Criminal Justice Reform","National Alliance of Faith and Justice","Criminal Justice Reform","$100,000","3/2017"
"80,000 Hours — General Support","80,000 Hours","Other areas","$1,125,000","3/2017"
"UCLA — Climate Engineering Governance","UCLA School of Law","Global Catastrophic Risks","$776,095","3/2017"
"The People's Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2017)","The People's Lobby Education Institute","Criminal Justice Reform","$125,000","3/2017"
"People's Action Institute — Prosecutor Accountability","People's Action Institute","Criminal Justice Reform","$279,000","3/2017"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2017)","Workers Center for Racial Justice","Criminal Justice Reform","$125,000","3/2017"
"People's Action — Prosecutor Accountability","People's Action","Criminal Justice Reform","$1,927,640","3/2017"
"Distill Prize for Clarity in Machine Learning — General Support","Distill Prize for Clarity in Machine Learning","Potential Risks from Advanced Artificial Intelligence","$25,000","3/2017"
"Center for Global Development — Migration Program","Center for Global Development","Immigration Policy","$1,800,000","3/2017"
"International Society for Applied Ethology — Travel Scholarships","International Society for Applied Ethology","Farm Animal Welfare","$40,000","3/2017"
"Stanford University — Percy Liang Planning Grant","Stanford University","Potential Risks from Advanced Artificial Intelligence","$25,000","3/2017"
"Drug Policy Alliance — Drug Decriminalization","Drug Policy Alliance","Criminal Justice Reform","$1,371,630","3/2017"
"Texas Organizing Project Education Fund — Criminal Justice Reform","Texas Organizing Project Education Fund","Criminal Justice Reform","$765,000","3/2017"
"Texas Organizing Project — Criminal Justice Reform (2017)","Texas Organizing Project","Criminal Justice Reform","$1,195,500","3/2017"
"Georgetown Center for Global Health Science and Security — General Support (2017)","Georgetown Center for Global Health Science and Security","Biosecurity and Pandemic Preparedness","$3,500,000","3/2017"
"Future of Humanity Institute — General Support","Future of Humanity Institute","Potential Risks from Advanced Artificial Intelligence","$1,995,425","3/2017"
"American Civil Liberties Union Foundation of Oregon — Prosecutorial Accountability","American Civil Liberties Union Foundation of Oregon","Criminal Justice Reform","$145,000","3/2017"
"Jeanne Marchig Centre — Farm Animal Welfare Advocacy in China (2017)","Jeanne Marchig International Centre for Animal Welfare Education","Farm Animal Welfare","$255,816","3/2017"
"ClimateWorks Foundation — Kigali Cooling Efficiency Program","ClimateWorks Foundation","Global Catastrophic Risks","$3,000,000","3/2017"
"Humane Society International — East Asian and OIE Projects","Humane Society International","Farm Animal Welfare","$1,364,000","3/2017"
"Center for Popular Democracy Action Fund — Fed Up Campaign (2017)","Center for Popular Democracy Action Fund","Macroeconomic Stabilization Policy","$305,000","2/2017"
"Florida Rights Restoration Coalition — General Support","Florida Rights Restoration Coalition","Criminal Justice Reform","$130,000","2/2017"
"Genspace — DIYbio and FBI Meeting","Genspace ","Biosecurity and Pandemic Preparedness","$15,000","2/2017"
"Global Animal Partnership — Broiler Chicken Welfare Research","Global Animal Partnership","Farm Animal Welfare","$515,000","2/2017"
"LatinoJustice — Work to End Mass Incarceration","LatinoJustice","Criminal Justice Reform","$500,000","2/2017"
"Global Animal Partnership — General Support (2017)","Global Animal Partnership","Farm Animal Welfare","$200,000","2/2017"
"ReFrame Mentorship — General Support","ReFrame Mentorship","Criminal Justice Reform","$100,000","2/2017"
"Malaria Consortium — Seasonal Malaria Chemoprevention (February 2017)","Malaria Consortium","Global Health & Development","$5,000,000","2/2017"
"Compassion in World Farming — Farm Animal Welfare Advocacy in China (2017)","Compassion in World Farming","Farm Animal Welfare","$765,112","2/2017"
"Prison Policy Initiative — General Support (2017) ","Prison Policy Initiative","Criminal Justice Reform","$66,000","2/2017"
"American Civil Liberties Union of Northern California — Prosecutorial Accountability ","American Civil Liberties Union Foundation of Northern California","Criminal Justice Reform","$250,000","2/2017"
"Dyrevernalliansen — Fish Welfare","Dyrevernalliansen (The Norwegian Animal Protection Alliance)","Farm Animal Welfare","$378,000","2/2017"
"Royal Society for the Prevention of Cruelty to Animals — Farm Animal Welfare Advocacy in China","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$453,440","2/2017"
"Nuclear Threat Initiative — Planning Grant for Global Health Security Index","Nuclear Threat Initiative","Biosecurity and Pandemic Preparedness","$476,859","2/2017"
"Center for Popular Democracy — Fed Up Campaign (2017)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$1,100,000","2/2017"
"National Network for Safe Communities — LA Larceny Project","National Network for Safe Communities","Criminal Justice Reform","$161,040","2/2017"
"gui2de — Zusha! Road Safety Campaign (February 2017)","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","$900,000","2/2017"
"Justice Solutions — Anne Seymour's Crime Victims and Survivors Work (2017)","Justice Solutions","Criminal Justice Reform","$112,613","2/2017"
"Farm Forward — Chicken Welfare Advocacy (2017)","Farm Forward","Farm Animal Welfare","$100,000","1/2017"
"Johns Hopkins Center for Health Security — Biosecurity, Global Health Security, and Global Catastrophic Risks (2017)","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","$16,000,000","1/2017"
"Compassion in World Farming — Fish Welfare","Compassion in World Farming","Farm Animal Welfare","$1,026,253","1/2017"
"The Justice Collaborative — General Support (2017)","The Justice Collaborative","Criminal Justice Reform","$1,301,280","1/2017"
"Blue Ribbon Study Panel on Biodefense — General Support (2017)","Blue Ribbon Study Panel on Biodefense","Biosecurity and Pandemic Preparedness","$500,000","1/2017"
"Accountable Justice Collaborative — General Support","Accountable Justice Collaborative","Criminal Justice Reform","$200,000","1/2017"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (January 2017)","Global Alliance for Improved Nutrition","Global Health & Development","$250,000","1/2017"
"Fair and Just Prosecution — General Support (2017)","Fair and Just Prosecution","Criminal Justice Reform","$1,500,000","1/2017"
"Albert Schweitzer Foundation — Fish Welfare","Albert Schweitzer Foundation","Farm Animal Welfare","$317,060","1/2017"
"Deworm the World Initiative — General Support (January 2017)","Evidence Action","Global Health & Development","$4,470,000","1/2017"
"Albert Schweitzer Foundation — International Cage-Free Advocacy","Albert Schweitzer Foundation","Farm Animal Welfare","$111,986","1/2017"
"Mission: Launch, Inc. — Lisa Sangoi on Child Welfare","Mission: Launch, Inc.","Criminal Justice Reform","$55,000","1/2017"
"GiveDirectly — General Support (January 2017)","GiveDirectly","Global Health & Development","$2,500,000","1/2017"
"Against Malaria Foundation — General Support (January 2017)","Against Malaria Foundation","Global Health & Development","$15,080,000","1/2017"
"Schistosomiasis Control Initiative — General Support (2017)","Schistosomiasis Control Initiative","Global Health & Development","$13,500,000","1/2017"
"Sightsavers — Deworming (January 2017)","Sightsavers","Global Health & Development","$2,950,000","1/2017"
"Living Goods — General Support (January 2017)","Living Goods","Global Health & Development","$250,000","1/2017"
"Project Healthy Children — General Support (January 2017)","Project Healthy Children","Global Health & Development","$250,000","1/2017"
"The END Fund — Deworming (December 2016)","The END Fund","Global Health & Development","$5,000,000","12/2016"
"Development Media International — General Support (December 2016)","Development Media International","Global Health & Development","$250,000","12/2016"
"Food Fortification Initiative — General Support (December 2016)","Food Fortification Initiative","Global Health & Development","$250,000","12/2016"
"Iodine Global Network — General Support (December 2016)","Iodine Global Network","Global Health & Development","$250,000","12/2016"
"The Pollination Project — Global Animal Advocacy Movement (2016)","The Pollination Project","Farm Animal Welfare","$233,000","12/2016"
"Evidence Action — No Lean Season","Evidence Action","Global Health & Development","$1,687,500","12/2016"
"Harvard University — Solar Geoengineering Research Program","Harvard University","Global Catastrophic Risks","$2,500,000","12/2016"
"The Soze Agency — Returning Citizens Project","The Soze Agency","Criminal Justice Reform","$261,500","12/2016"
"The Ordinary People Society — Prodigal Child Project","The Ordinary People Society","Criminal Justice Reform","$300,000","12/2016"
"Griffith University — Farm Animal Welfare Advocacy in China (2016)","Griffith University","Farm Animal Welfare","$120,000","12/2016"
"Blackbird — Ending Mass Incarceration","Blackbird","Criminal Justice Reform","$425,000","12/2016"
"Ayni Institute — Movement Ecology and Metrics","Ayni Institute","Criminal Justice Reform","$250,000","12/2016"
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project","Grassroots Leadership, Inc.","Criminal Justice Reform","$275,000","12/2016"
"Mothers Against Police Brutality — Prosecutorial Reform","Mothers Against Police Brutality","Criminal Justice Reform","$50,000","12/2016"
"Colorado Criminal Justice Reform Coalition — Prosecutorial Reform (December 2016)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$75,000","12/2016"
"LEAD National Support Bureau — General Support","LEAD National Support Bureau","Criminal Justice Reform","$200,000","12/2016"
"UC Berkeley — Plant Pathology Workshop (Brian Staskawicz)","UC Berkeley","Scientific Research","$63,000","12/2016"
"Animal Welfare Standards Project — Farm Animal Welfare Advocacy in China","Animal Welfare Standards Project","Farm Animal Welfare","$238,212","12/2016"
"AI Impacts — General Support (2016)","AI Impacts","Potential Risks from Advanced Artificial Intelligence","$32,000","12/2016"
"Civil Rights Corps — General Support (2016)","Civil Rights Corps","Criminal Justice Reform","$200,000","12/2016"
"JustLeadershipUSA — Campaign to Close Rikers (2016)","JustLeadershipUSA","Criminal Justice Reform","$4,000,000","12/2016"
"Dream Corps — Criminal Justice and Criminalization","Dream Corps","Criminal Justice Reform","$500,000","12/2016"
"Eurogroup for Animals — Fish Welfare (2016)","Eurogroup for Animals","Farm Animal Welfare","$535,699","12/2016"
"PICO Action Fund — General Support","PICO Action Fund","Criminal Justice Reform","$50,000","12/2016"
"PICO National Network — General Support","PICO National Network","Criminal Justice Reform","$50,000","12/2016"
"Compassion Over Killing — U.S. Broiler Welfare Campaigns","Compassion Over Killing","Farm Animal Welfare","$500,000","12/2016"
"Impact Justice — Restorative Justice Project","Impact Justice","Criminal Justice Reform","$2,050,000","12/2016"
"Impossible Foods — R&D Investment","Impossible Foods","Farm Animal Welfare","","11/2016"
"Color Of Change Education Fund — Criminal Justice Meeting","Color Of Change Education Fund","Criminal Justice Reform","$30,000","11/2016"
